surveillance,arm,lam,n,n_seeds,avg_colonoscopies_per_person,crc_death_per_100k,incidence_per_100k,screen_detected_per_100k,symptom_detected_per_100k,surveillance_detected_per_100k,life_years,life_years_disc3pct,avg_colonoscopies_per_person_sem,crc_death_per_100k_sem,incidence_per_100k_sem,screen_detected_per_100k_sem,symptom_detected_per_100k_sem,surveillance_detected_per_100k_sem,life_years_sem,life_years_disc3pct_sem,cost_per_person_usd,cost_per_person_disc3pct_usd,screening_colo_total,followup_colo_total,symptom_colo_total,high_risk_avg_colonoscopies_per_person,high_risk_crc_death_per_100k,high_risk_incidence_per_100k,high_risk_screen_detected_per_100k,high_risk_symptom_detected_per_100k,high_risk_surveillance_detected_per_100k,high_risk_life_years,high_risk_life_years_disc3pct,low_risk_avg_colonoscopies_per_person,low_risk_crc_death_per_100k,low_risk_incidence_per_100k,low_risk_screen_detected_per_100k,low_risk_symptom_detected_per_100k,low_risk_surveillance_detected_per_100k,low_risk_life_years,low_risk_life_years_disc3pct
nosurv,policy,0.01,200000,3,1.716965,1033.5,2671.3333333333335,425.6666666666667,2245.6666666666665,0.0,37.20203291666667,21.763139888766545,0.0017057940477482618,15.898113095584684,42.08754104377103,15.63205396328682,28.759539480163994,0.0,0.014077284179168545,0.004195865573957719,3569.6195608333333,1724.4739282393305,338643.0,0.0,4750.0,5.097869005662634,1677.5460908206326,4439.602806425748,1123.55463659699,3316.0481698287585,0.0,37.04101791252505,21.708034151006412,0.8649395903536029,871.1927065259596,2225.681056465106,249.78640508080784,1975.8946513842982,0.0,37.24260134984926,21.777023737979633
nosurv,q10y,,200000,3,2.60714,1025.5,2695.0,503.3333333333333,2191.6666666666665,0.0,37.189110416666665,21.7554565122221,0.0003454345089882086,12.00347172002056,4.932882862316247,5.449260908090584,8.115485882626567,0.0,0.015347385471100422,0.00433478807178259,4613.121474583334,2348.4431480011885,516832.0,0.0,4596.0,2.6264803393691136,2308.378352836529,5969.066769149762,1216.5005556118583,4752.566213537903,0.0,36.9899624102666,21.683855083137633,2.60226483252976,702.1704577681339,1869.8739274066563,323.6491628984681,1546.224764508188,0.0,37.23927720147657,21.77349524895892
nosurv,q5y,,200000,3,5.020440000000001,795.3333333333334,2245.6666666666665,743.8333333333334,1501.8333333333333,0.0,37.22475166666667,21.765613035778983,0.0019257812267580107,10.592187896957117,22.585639488646567,8.574833979604374,14.024779657607619,0.0,0.014455777866142492,0.006634319927769652,7246.9317808333335,3699.0430688399597,1000928.0,0.0,3160.0,5.022132307046291,1588.1311828987943,4375.977009345275,1386.9949008435515,2988.982108501723,0.0,37.04994880979741,21.701479000796855,5.020017222001335,595.5398194847146,1708.7763821357419,581.7700877720144,1127.0062943637274,0.0,37.26885024036026,21.781792079633032
surv,no_screen,,200000,3,0.16651000000000002,1819.5,4552.833333333333,0.0,4518.666666666667,34.166666666666664,37.12571166666667,21.740716062553812,0.0003344522885754204,2.598076211353316,7.8013531589789675,0.0,8.96908269804914,2.803767306876788,0.008524981559528832,0.0035171786056661025,2797.819191666667,1041.9976758410337,0.0,23824.0,9478.0,0.4751692985128086,4814.874586523684,12256.298468949986,0.0,12131.266126874058,125.03234207592737,36.689105603335435,21.593111096553567,0.08872615051584348,1064.6253846424397,2611.49026148659,0.0,2600.220264447615,11.269997038974408,37.235731457055,21.777908117529506
surv,policy,-0.008,200000,3,5.584915,604.3333333333334,1917.8333333333333,607.3333333333334,1105.5,205.0,37.27224833333334,21.785067618351984,0.005088274101631417,6.610177338350648,10.465551957626445,12.228155125683424,9.013878188659973,9.096702699330127,0.016173590940902413,0.007625535121198314,7801.754786666667,4003.456907598015,971420.0,143229.33333333334,2333.6666666666665,11.15708268270564,738.6625566356853,2599.9512052548466,881.8043802288216,1073.8289421572779,644.3178828687466,37.20624260137919,21.755129747595742,4.180668970280222,570.4985206083569,1745.9360870591133,538.1620154254044,1113.4565277319484,94.31754390176054,37.28888249710405,21.792611419524615
surv,policy,-0.006,200000,3,4.858486666666667,679.6666666666666,2006.1666666666667,549.1666666666666,1254.6666666666667,202.33333333333334,37.26772166666667,21.786131417500787,0.0028399153938885174,14.777046765545244,6.193634725354091,6.930207628763931,13.172994260143659,5.629781918018179,0.011451192494612038,0.006689542729551031,6982.798658750001,3619.85131460648,827294.0,141743.0,2660.3333333333335,10.177959070308262,798.1946536514902,2726.6475068200357,883.4752300420442,1172.4281537628237,670.7441230151671,37.1249247033684,21.731783873687736,3.517919808548985,649.7975752830995,1824.6023938848793,464.9164341394109,1275.3834355180763,84.30252422739187,37.30370107981138,21.799826674503773
surv,policy,-0.004,200000,3,3.6449533333333335,754.3333333333334,2152.6666666666665,462.8333333333333,1463.3333333333333,226.5,37.255165833333336,21.782177691151805,0.002271712520935985,2.728450923957483,20.137720272607268,1.9220937657784365,21.095681495931288,3.5,0.006046376727247716,0.004413874063156311,5636.051191666666,2773.0029552023,579840.3333333334,146077.33333333334,3073.0,9.196064027024056,861.9949004698506,2892.343507161016,774.2176072705007,1293.403341831291,824.7225580592236,37.13652497698961,21.74007918069469,2.246019691368509,727.2124138486619,1966.3067347547997,384.3674003488122,1506.1896194726426,75.74971493334482,37.28508456883292,21.79279660307708
surv,policy,-0.003,200000,3,3.5776466666666664,733.6666666666666,2139.0,448.0,1471.0,220.0,37.25956458333333,21.782416216801096,0.0003990231126694959,2.3333333333333335,14.93597446882303,3.968626966596872,12.439855304624729,4.163331998932262,0.004972108473636494,0.005117402859361335,5559.637407916666,2742.0105769205534,560206.6666666666,152216.66666666666,3106.0,8.86655622285918,817.241866463232,2803.7705432397292,728.7171335568831,1276.7874222391847,798.2659874436616,37.1639948787941,21.74632816100458,2.2447910467379586,712.6025324484949,1971.5036398310679,377.27444784497874,1519.9432417157884,74.28595027030102,37.283697455211644,21.79152827622063
surv,policy,-0.002,200000,3,3.182078333333333,757.5,2175.8333333333335,468.8333333333333,1493.6666666666667,213.33333333333334,37.22961166666666,21.77013500995739,0.0031639128376813094,6.048415770541352,4.333333333333334,1.1666666666666814,6.821127309893709,2.728450923957493,0.011279269986288963,0.0042159440468934935,5106.91358625,2441.8452602188536,483095.3333333333,150166.0,3154.3333333333335,8.752075479536849,801.5211541812913,2776.2626544496834,774.1812311500538,1246.080974223277,756.0004490763528,37.14909370801983,21.736902537772178,1.778377288385144,746.4110588956643,2024.5014172966983,391.8790015090458,1556.0421140181563,76.58030176949607,37.249878207664445,21.77850291142194
surv,policy,-0.001,200000,3,3.1027516666666664,764.6666666666666,2191.6666666666665,452.5,1515.1666666666667,224.0,37.255552083333335,21.781684473923775,0.002345339942192736,8.447550598316125,17.407693063062027,8.32165848854662,12.049665739946668,6.383572667401847,0.010191392848595727,0.005204124126543886,5022.04477625,2387.1247477976704,466387.3333333333,150970.66666666666,3192.3333333333335,8.42295910305677,849.6101462953175,2863.217593539588,752.6706720685446,1289.241787624899,821.3051338461446,37.17378791568793,21.751174605289986,1.761998832039674,743.2795422581568,2022.4137022574942,376.8601872846072,1572.1022653570624,73.45124961582468,37.2761337898585,21.78936159761118
