fpr,tpr,threshold
0.771436,0.932412,0.158831
0.773405,0.932412,0.157933
0.773415,0.932412,0.157642
0.775414,0.933436,0.156535
0.777392,0.933948,0.155138
0.777403,0.933948,0.153873
0.779514,0.933948,0.153740
0.779524,0.933948,0.152699
0.781431,0.934460,0.152342
0.783624,0.934972,0.150945
0.785684,0.935996,0.149547
0.787581,0.937020,0.148149
0.789825,0.938044,0.146752
0.789835,0.938044,0.145410
0.791937,0.939580,0.145354
0.793895,0.939580,0.143957
0.795894,0.939580,0.142559
0.795904,0.939580,0.141861
0.797954,0.939580,0.141161
0.797964,0.939580,0.140680
0.800096,0.939580,0.139764
0.802044,0.940092,0.138366
0.804074,0.940092,0.136968
0.806052,0.940092,0.135571
0.806062,0.940092,0.134661
0.807959,0.940604,0.134173
0.810162,0.941628,0.132775
0.810173,0.941628,0.131440
0.812100,0.942652,0.131378
0.812111,0.942652,0.131239
0.812121,0.942652,0.130999
0.814079,0.942652,0.129980
0.816109,0.942652,0.128583
0.816119,0.942652,0.128032
0.818138,0.943676,0.127185
0.818148,0.943676,0.126047
0.820066,0.945212,0.125787
0.822065,0.946237,0.124390
0.824115,0.946749,0.122992
0.824125,0.946749,0.122491
0.826196,0.947261,0.121594
0.828225,0.950333,0.120197
0.828235,0.950333,0.120137
0.830224,0.950845,0.118799
0.830234,0.950845,0.118179
0.832040,0.951869,0.117401
0.832050,0.951869,0.116592
0.833916,0.951869,0.116004
0.833927,0.951869,0.115002
0.835956,0.951869,0.114606
0.835966,0.951869,0.113394
0.838006,0.953405,0.113209
0.839975,0.953917,0.111811
0.841913,0.953917,0.110413
0.843922,0.953917,0.109016
0.843932,0.953917,0.108379
0.845870,0.953917,0.107618
0.847808,0.954941,0.106220
0.849817,0.956477,0.104823
0.851826,0.956989,0.103425
0.851836,0.956989,0.103075
0.854111,0.957501,0.102027
0.856161,0.959037,0.100630
0.856171,0.959037,0.100122
0.858180,0.959037,0.099232
0.860128,0.959549,0.097835
0.860139,0.959549,0.096918
0.862066,0.962110,0.096437
0.862076,0.962110,0.095780
0.864045,0.962622,0.095039
0.865860,0.962622,0.093642
0.867747,0.963134,0.092244
0.869736,0.964158,0.090846
0.869746,0.964158,0.090331
0.871664,0.964670,0.089449
0.871674,0.964670,0.088734
0.873836,0.964670,0.088051
0.873846,0.964670,0.087244
0.875682,0.965182,0.086653
0.877610,0.965694,0.085256
0.877620,0.965694,0.084849
0.879629,0.966206,0.083858
0.881618,0.966206,0.082461
0.881628,0.966206,0.081080
0.883678,0.966718,0.081063
0.885677,0.966718,0.079665
0.887707,0.966718,0.078268
0.887717,0.966718,0.077530
0.889706,0.967230,0.076870
0.889716,0.967230,0.075693
0.891797,0.967742,0.075472
0.894041,0.968766,0.074075
0.895846,0.969278,0.072677
0.898008,0.970302,0.071279
0.898018,0.970302,0.070240
0.900130,0.970302,0.069882
0.900140,0.970302,0.069066
0.902139,0.971326,0.068484
0.902149,0.971326,0.067419
0.904158,0.971838,0.067087
0.904168,0.971838,0.066699
0.906208,0.972862,0.065689
0.908156,0.974910,0.064291
0.908166,0.974910,0.062934
0.910053,0.976446,0.062894
0.912256,0.978495,0.061496
0.914225,0.979007,0.060098
0.916203,0.980543,0.058701
0.916214,0.980543,0.058204
0.918192,0.980543,0.057303
0.920161,0.981055,0.055905
0.920171,0.981055,0.055828
0.920181,0.981055,0.055763
0.922282,0.981055,0.054508
0.924526,0.981055,0.053110
0.926352,0.981567,0.051713
0.928473,0.983103,0.050315
0.928483,0.983103,0.049315
0.930431,0.983615,0.048917
0.930442,0.983615,0.048531
0.932492,0.984127,0.047520
0.932502,0.984127,0.047502
0.934593,0.984639,0.046122
0.934603,0.984639,0.044779
0.936530,0.985151,0.044724
0.936541,0.985151,0.044289
0.938693,0.986175,0.043327
0.940682,0.986175,0.041929
0.940692,0.986175,0.041232
0.942609,0.987199,0.040531
0.944741,0.988735,0.039134
0.946781,0.988735,0.037736
0.948831,0.989247,0.036339
1.000000,1.000000,0.034941
